time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),pressure_msl (hPa),cloudcover (%),cloudcover_mid (%),cloudcover_high (%),vapor_pressure_deficit (kPa),windspeed_100m (km/h),winddirection_100m (°)
01-07-2017 00:00,26.7,91,1.5,997.7,78,87,75,0.33,8.2,157
01-07-2017 01:00,26.7,89,2.3,997.4,78,82,81,0.38,4.3,114
01-07-2017 02:00,25.7,95,1.9,996.8,100,87,91,0.18,6.3,103
01-07-2017 03:00,25.6,94,1.6,996.8,90,89,96,0.18,9.8,126
01-07-2017 04:00,25.4,95,1.2,996.7,89,98,100,0.15,12,131
01-07-2017 05:00,25.3,94,0.8,996.8,80,85,97,0.19,11.4,125
01-07-2017 06:00,25.4,96,0.6,997.6,70,64,78,0.12,9.4,108
01-07-2017 07:00,26,94,0.4,997.8,61,54,60,0.21,7.6,98
01-07-2017 08:00,26.3,93,0.2,998,40,38,24,0.24,7.8,112
01-07-2017 09:00,26.6,90,0.1,997.9,18,10,15,0.35,8.2,139
01-07-2017 10:00,28.1,83,0.1,997.7,21,6,17,0.65,8.6,147
01-07-2017 11:00,29.6,75,0,997.2,17,9,14,1.02,6.4,164
01-07-2017 12:00,31.8,71,0,996.4,23,8,29,1.36,5.8,180
01-07-2017 13:00,32.2,70,0,996.1,31,19,33,1.46,4.8,193
01-07-2017 14:00,32.1,68,0,994.9,32,16,39,1.52,5.6,220
01-07-2017 15:00,32.1,69,0.4,994.1,32,18,45,1.5,2.1,149
01-07-2017 16:00,31.8,69,1.2,993.7,44,20,57,1.44,4.7,189
01-07-2017 17:00,31.5,70,0.6,993.6,48,19,80,1.39,9,209
01-07-2017 18:00,30.5,75,0.5,994,62,34,87,1.09,8.4,211
01-07-2017 19:00,28.8,83,1.3,995.3,67,37,96,0.67,7.8,158
01-07-2017 20:00,27.9,88,0.5,996.3,76,29,97,0.47,15.9,129
01-07-2017 21:00,27.4,90,1.2,997.3,90,38,98,0.36,17.3,121
01-07-2017 22:00,26.9,93,1.6,998,100,64,100,0.26,16.2,127
01-07-2017 23:00,26.5,95,1.3,998.1,100,60,99,0.16,12.5,139
02-07-2017 00:00,26.1,96,0.6,997.8,100,42,99,0.13,9.7,149
02-07-2017 01:00,26,94,0.3,997.6,100,44,99,0.2,11.1,126
02-07-2017 02:00,25.6,97,0.4,996.9,100,53,100,0.11,13.6,127
02-07-2017 03:00,25.4,99,0.6,997.4,100,51,100,0.05,17.1,155
02-07-2017 04:00,25.2,99,0.7,997,100,69,100,0.02,17.1,150
02-07-2017 05:00,25.1,99,0.7,997.4,100,87,100,0.02,18.3,144
02-07-2017 06:00,24.9,99,0.6,997.6,100,99,100,0.02,17.1,141
02-07-2017 07:00,25.1,97,0.3,998,100,89,100,0.09,11.9,125
02-07-2017 08:00,26.1,91,0.5,998.4,100,53,100,0.32,12.8,128
02-07-2017 09:00,26.1,92,0.5,999.1,100,42,100,0.28,17.2,147
02-07-2017 10:00,26.2,94,0.8,999.4,100,32,100,0.21,18.3,148
02-07-2017 11:00,26.6,93,0.8,999.6,97,29,100,0.23,18.2,146
02-07-2017 12:00,26.4,99,0.4,999.3,100,26,100,0.04,17.4,142
02-07-2017 13:00,26.8,97,0.3,999,98,18,99,0.12,15.9,129
02-07-2017 14:00,27.2,93,0.1,998.5,75,4,100,0.24,16,121
02-07-2017 15:00,27.4,90,0,998,65,3,98,0.35,15.4,101
02-07-2017 16:00,28.2,83,0,997.3,67,7,97,0.67,13,114
02-07-2017 17:00,28.4,80,0,996.3,30,4,88,0.78,11.2,132
02-07-2017 18:00,28.1,81,0,995.9,27,1,89,0.73,11.7,146
02-07-2017 19:00,27.3,85,0,996.7,29,1,91,0.54,13.4,149
02-07-2017 20:00,26.7,89,0,998.3,31,1,95,0.39,13.3,139
02-07-2017 21:00,26.2,91,0,999.2,39,8,97,0.3,14.8,124
02-07-2017 22:00,26,93,0,999.9,42,7,97,0.22,14,119
02-07-2017 23:00,26.1,91,0,1000,41,11,84,0.3,12.4,120
03-07-2017 00:00,25.9,90,0,999.6,41,15,54,0.35,11.1,115
03-07-2017 01:00,25.8,90,0,999.1,26,7,44,0.35,11,113
03-07-2017 02:00,25.7,90,0,998.6,25,2,56,0.34,9.4,113
03-07-2017 03:00,25.4,91,0,997.9,33,13,45,0.29,7.4,113
03-07-2017 04:00,25.3,92,0,998.4,20,2,13,0.25,9.9,147
03-07-2017 05:00,25.2,93,0,998.4,38,7,53,0.24,8.7,142
03-07-2017 06:00,25.1,96,0,998.8,54,14,55,0.12,7.1,120
03-07-2017 07:00,26.2,89,0,999.6,61,26,51,0.39,5.7,108
03-07-2017 08:00,27.4,82,0,999.7,37,22,17,0.65,5.5,122
03-07-2017 09:00,28.7,76,0,999.7,58,18,25,0.95,4.8,138
